employee|is_competent_in_payment_issue|is_competent_in_create_account|is_competent_in_contact_customer_service|is_competent_in_get_invoice|is_competent_in_track_order|is_competent_in_get_refund|is_competent_in_contact_human_agent|is_competent_in_recover_password|is_competent_in_change_order|is_competent_in_delete_account|is_competent_in_complaint|is_competent_in_check_invoices|is_competent_in_review|is_competent_in_check_refund_policy|is_competent_in_delivery_options|is_competent_in_check_cancellation_fee|is_competent_in_track_refund|is_competent_in_check_payment_methods|is_competent_in_switch_account|is_competent_in_newsletter_subscription|is_competent_in_delivery_period|is_competent_in_edit_account|is_competent_in_registration_problems|is_competent_in_change_shipping_address|is_competent_in_set_up_shipping_address|is_competent_in_place_order|is_competent_in_cancel_order|is_competent_in_check_invoice
Joshua Mummert|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Allan Pearson|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Victoria Butler|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Charmaine Roach|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0
Harold Manalang|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0
Valeria Sanders|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Lissa Johnson|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Loretta Humphries|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Leo Garrett|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Geraldine Montoya|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Noemi Dye|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mary Parker|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
James Kemp|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Gladys Sutton|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
David Briggs|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Jessica Gajewski|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Grace Dinardo|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Charles Hulslander|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Amy Manning|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Pat Miles|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
